ra,dec,ObjectId,RAICRS,DEICRS,errHalfMaj,errHalfMin,errPosAng,e_RAICRS,e_DEICRS,SMSS,EpMean,skymapper_flags,ClassStar,RadrPetro,a,b,PA,e_pa,uPSF,e_uPSF,uPetro,e_uPetro,vPSF,e_vPSF,vPetro,e_vPetro,gPSF,e_gPSF,gPetro,e_gPetro,rPSF,e_rPSF,rPetro,e_rPetro,iPSF,e_iPSF,iPetro,e_iPetro,zPSF,e_zPSF,zPetro,e_zPetro,angDist,sys_err,tot_err
162.87465083333333,-9.302832222222223,58163511,162.874677,-9.302819,36.0,36.0,90.0,36,36,105129.92-091810.1,56752.0176,0,0.9789999723434448,6.110000133514404,2.4100000858306885,2.069999933242798,33.11000061035156,42.18000030517578,16.400999069213867,0.0750000029802322,16.354000091552734,0.0970000028610229,16.10099983215332,0.0289999991655349,16.101999282836914,0.0549999997019767,16.20400047302246,0.0179999992251396,16.250999450683594,0.0350000001490116,16.208999633789062,0.006000000052154,16.14900016784668,0.0399999991059303,16.24799919128418,0.0179999992251396,16.277000427246094,0.0270000007003545,15.630000114440918,0.0120000001043081,15.668999671936035,0.0149999996647238,0.104439,344.34782608695656,346.9215729189488
163.14405252499998,-18.75507798611111,57346019,163.144098,-18.755057,36.0,34.0,0.0,34,36,105234.58-184518.2,56759.2609,0,0.9800000190734864,6.130000114440918,2.119999885559082,1.809999942779541,29.25,49.119998931884766,16.89699935913086,0.025000000372529,16.906999588012695,0.0810000002384185,16.639999389648438,0.0320000015199184,16.677000045776367,0.0680000036954879,16.5939998626709,0.0099999997764825,16.586999893188477,0.0270000007003545,16.6299991607666,0.0140000004321336,16.69099998474121,0.0549999997019767,16.44700050354004,0.0149999996647238,16.482999801635742,0.0509999990463256,16.565000534057617,0.0230000000447034,16.66699981689453,0.0439999997615814,0.172448,344.34782608695656,347.83358035974794
163.37717501249998,-10.180831813888888,58159848,163.377195,-10.180839,44.0,36.0,90.0,44,36,105330.53-101051.0,56750.8468,0,0.8980000019073486,7.03000020980835,1.440000057220459,1.159999966621399,-2.9600000381469727,53.31999969482422,18.0,0.0109999999403953,18.28300094604492,0.1469999998807907,18.08300018310547,0.0860000029206276,18.208999633789062,0.1389999985694885,17.746000289916992,0.0390000008046627,17.82699966430664,0.1430000066757202,17.660999298095703,0.0179999992251396,17.641000747680664,0.0810000002384185,17.650999069213867,0.0230000000447034,17.665000915527344,0.0780000016093254,17.46500015258789,0.0939999967813491,17.47599983215332,0.0790000036358833,0.075399,683.4782608695652,685.5549251874291
163.89320624999996,-1.4378652777777778,58396378,163.89321,-1.437836,44.0,36.0,90.0,44,36,105534.37-012616.2,56741.0437,2,0.7649999856948853,5.949999809265137,1.5299999713897705,1.159999966621399,50.61000061035156,43.61000061035156,18.42300033569336,0.1909999996423721,18.565000534057617,0.1389999985694885,,,,,18.035999298095703,0.0680000036954879,18.051000595092773,0.0890000015497207,17.948999404907227,0.0450000017881393,18.04899978637696,0.0970000028610229,17.679000854492188,0.0480000004172325,17.72800064086914,0.0659999996423721,17.4950008392334,0.0590000003576278,17.777000427246094,0.2599999904632568,0.106261,344.34782608695656,347.09833978866527
163.88918111137497,-28.52610189386111,54207578,163.889206,-28.526112,58.0,45.0,90.0,58,45,105533.40-283134.0,57034.1903,0,0.0700000002980232,10.5600004196167,3.660000085830689,2.8499999046325684,41.7599983215332,30.059999465942383,,,,,,,,,17.281999588012695,0.0979999974370002,16.20199966430664,0.06700000166893,16.700000762939453,0.0659999996423721,15.619999885559082,0.1700000017881393,16.121999740600586,0.0879999995231628,14.715999603271484,0.0829999968409538,15.725000381469728,0.0839999988675117,14.446999549865724,0.1230000033974647,0.086722,344.34782608695656,345.6573865820103
164.14081774166664,-13.515753694444443,58093460,164.140901,-13.515771,45.0,36.0,90.0,45,36,105633.81-133056.7,56764.1117,0,0.871999979019165,6.670000076293945,1.2300000190734863,0.949999988079071,-22.040000915527344,46.959999084472656,18.332000732421875,0.0189999993890523,18.357999801635746,0.2520000040531158,18.17399978637696,0.0270000007003545,18.145999908447266,0.2630000114440918,18.08799934387207,0.0469999983906745,18.325000762939453,0.1180000007152557,17.89299964904785,0.1140000000596046,17.819000244140625,0.2430000007152557,17.815000534057617,0.0149999996647238,17.827999114990234,0.0930000022053718,17.950000762939453,0.032999999821186,17.981000900268555,0.096000000834465,0.298014,249.1304347826087,253.5176819257097
164.48087065570832,-24.563573537444444,57050125,164.480875,-24.563549,36.0,33.0,0.0,33,36,105755.41-243348.7,56775.4508,0,0.4650000035762787,7.920000076293945,0.7300000190734863,0.4600000083446502,-19.89999961853028,27.049999237060547,,,,,,,,,,,,,,,,,19.0049991607666,0.0970000028610229,18.76300048828125,0.1899999976158142,,,,,0.089473,249.1304347826087,250.5946447825584
164.47555691424998,-25.158073070555552,57045161,164.475615,-25.158072,43.0,43.0,90.0,43,43,105754.14-250929.0,56891.9993,0,0.8050000071525574,6.670000076293945,1.350000023841858,1.0499999523162842,-22.020000457763672,56.25,18.22699928283692,0.0350000001490116,18.50900077819824,0.2720000147819519,18.40699958801269,0.0529999993741512,18.79800033569336,0.2610000073909759,17.96500015258789,0.0189999993890523,17.9689998626709,0.135000005364418,17.827999114990234,0.0219999998807907,17.89299964904785,0.0850000008940696,17.878000259399414,0.0850000008940696,18.045000076293945,0.1220000013709068,17.784000396728516,0.0270000007003545,17.638999938964844,0.125,0.189312,249.1304347826087,255.40171501963653
164.51605041666667,-6.260464722222222,58334087,164.516118,-6.260432,36.0,36.0,90.0,36,36,105803.85-061537.5,56753.0116,0,0.4749999940395355,9.5,5.590000152587891,4.690000057220459,-43.36000061035156,38.58000183105469,18.41900062561035,0.0480000004172325,18.5049991607666,0.3930000066757202,18.201000213623047,0.0930000022053718,18.009000778198242,0.1580000072717666,16.222999572753906,0.0879999995231628,15.364999771118164,0.1110000014305114,15.635000228881836,0.0970000028610229,14.282999992370604,0.0570000000298023,15.17300033569336,0.1040000021457672,13.803000450134276,0.0370000004768371,14.887999534606934,0.1040000021457672,13.383000373840332,0.1430000066757202,0.269013,249.1304347826087,252.09996048443924
164.80177659504164,-11.572994288277778,58118950,164.801802,-11.572976,36.0,35.0,0.0,35,36,105912.43-113422.6,56755.1829,0,0.9819999933242798,5.760000228881836,1.7899999618530271,1.5,25.670000076293945,27.280000686645508,17.319000244140625,0.1679999977350235,17.31999969482422,0.1879999935626983,17.077999114990234,0.1580000072717666,16.93899917602539,0.1720000058412552,16.726999282836914,0.0750000029802322,16.461999893188477,0.1899999976158142,16.215999603271484,0.1230000033974647,16.26099967956543,0.1080000028014183,16.031999588012695,0.0920000001788139,16.003999710083008,0.1309999972581863,15.61299991607666,0.1280000060796737,15.807000160217283,0.1689999997615814,0.111187,344.34782608695656,345.4267270612919
