Index,J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
467,J0106-0155,0103-021,-01:55:38.4154971,01:06:22.99426541,-1.9273376380833327,16.59580943920833,735.0,8.39e-06,0.0002315,3.4958333333333324e-08,6.430555555555555e-08,7.318406402180171e-08,0.0049,0.2315,1.0,2015.0,131.648,-64.546,NED (fiducial),2.1951,,2.1944,,2.1944,19.1,R,AQ,"ICRF J010622.9-015538 S/X; PMN J0106-0155
",J0106-0155,"2,8",94,3,,4.6,0.0,3.0
468,J0106-0315,0104-035,-03:15:36.2949855,01:06:43.22869667,-3.2600819404166668,16.680119569458334,740.0,4.8e-06,0.0001449,2e-08,4.025e-08,4.493071211316992e-08,-0.0786,0.145,1.0,2015.0,132.291,-65.854,LITERATURE,2.2456,,,,,17.5,R,AQ,"ICRF J010643.2-031536 S/X; CGRaBS J0106-0315; GALEXASC J010643.17-031535.2;; z from milliquas (http://quasars.org/milliquas.htm)
",J0106-0315,2,-164,4,,3.2,7.447183098591549,8.453433391465719
469,J0106-1034,0104-108,-10:34:10.5867500,01:06:44.15847600,-10.569607430555555,16.68399365,741.0,3.8e-05,0.00118,1.5833333333333333e-07,3.277777777777778e-07,3.628556407686983e-07,0.274,1.1925,39.0,2015.0,135.932,-73.054,NED (fiducial),0.4678,,0.4678,,0.4678,17.7,R,A1,"FBQS J0106-1034
",J0106-1034,8,-152,5,,3.7,7.447183098591549,8.969979715916175
470,J0106-2358,0104-242,-23:58:05.6115900,01:06:45.66551100,-23.968225441666664,16.6902729625,743.0,3.533e-05,0.00113,1.4720833333333337e-07,3.138888888888889e-07,3.414973440430071e-07,0.087,1.131,39.0,2015.0,171.336,-85.318,LITERATURE,,a,,,,18.0,R,V ,"AT20G J010645-235805; 1RXS J010646.1-235800; GALEXASC J010645.68-235805.3;; z from milliquas (http://quasars.org/milliquas.htm)
",J0106-2358,5,-155,5,,7.5,7.447183098591549,8.969979715916175
471,J0106-2622,0104-266,-26:22:55.5643300,01:06:33.82477500,-26.38210120277778,16.640936562500002,739.0,3.4e-05,0.00106,1.4166666666666665e-07,2.9444444444444444e-07,3.206309872139532e-07,-0.059,1.0604,39.0,2015.0,201.327,-86.542,LITERATURE,,a,,,,19.4,R,V ,"PMN J0106-2623; GALEXASC J010633.76-262254.6;; z from milliquas (http://quasars.org/milliquas.htm)
",J0106-2622,"5,8",-70,4,,2.2,4.014084507042253,5.666822251463041
472,J0106-2718,0104-275,-27:18:11.8254145,01:06:26.08204500,-27.30328483736111,16.6086751875,736.0,5.68e-06,0.0001398,2.3666666666666664e-08,3.8833333333333344e-08,4.416206593381534e-08,-0.0159,0.1398,1.0,2015.0,216.794,-86.661,NED (fiducial),2.487,,2.487,,,18.6,R,AQ,"ICRF J010626.0-271811 S/X; CGRaBS J0106-2718
",J0106-2718,"2,5",175,4,,4.6,4.225352112676056,5.818384696468256
473,J0106-4034,0104-408,-40:34:19.9603733,01:06:45.10796439,-40.57221121480556,16.687949851625,742.0,2.73e-06,3.19e-05,1.1375e-08,8.861111111111112e-09,1.2376351680389742e-08,-0.0083,0.0319,1.0,2015.0,290.665,-76.189,NED (fiducial),0.584,,0.58,,,19.2,R,AQ,"ICRF J010645.1-403419 S/X DEF; CGRaBS J0106-4034
",J0106-4034,"2,8",35,73,,3.6,21.285211267605632,76.03985940746212
474,J0107+0333,0104+032,+03:33:48.6021200,01:07:28.57124100,3.5635005888888887,16.869046837499997,749.0,4e-05,0.00139,1.6666666666666665e-07,3.861111111111111e-07,4.204191438351339e-07,0.388,1.4127,39.0,2015.0,130.734,-59.065,,1.4378,,1.438,,1.4376,19.9,R,AQ,"NVSS J010728+033348; SDSS J010728.57+033348.6
",J0107+0333,8,147,5,,4.1,4.225352112676056,6.546266147667387
475,J0107+1312,0105+129,+13:12:05.1917587,01:07:45.96186831,13.201442155194444,16.941507784625,752.0,6.71e-06,0.0001859,2.7958333333333334e-08,5.1638888888888896e-08,5.8373582115300656e-08,-0.3066,0.1891,1.0,2015.0,129.055,-49.476,NED (fiducial),0.7602,,0.76,,0.7603,18.5,R,AQ,"ICRF J010745.9+131205 S/X; JVAS J0107+1312; 1RXS J010746.2+131203
",J0107+1312,"2,8",-67,3,,6.1,4.014084507042253,5.011274731011726
476,J0107+2558,0105+257,+25:58:43.9763100,01:07:44.92286900,25.978882308333333,16.937178620833333,751.0,1.933e-05,0.00066,8.054166666666665e-08,1.8333333333333333e-07,1.971125576342771e-07,-0.131,0.661,39.0,2015.0,127.508,-36.748,NED (fiducial),1.7,,1.7956,,1.7955,19.2,R,AQ,"NVSS J010744+255844
",J0107+2558,"5,8",43,4,,2.0,0.0,4.0
