Index,J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
8212,J2116+0536,2114+053,+05:36:17.0458950,21:16:36.63486842,5.604734970833333,319.1526452850833,12074.0,7.11e-06,0.0002362,2.9625e-08,6.56111111111111e-08,7.193112794931058e-08,-0.2214,0.2376,1.0,2015.0,56.836,-28.669,NED (fiducial),2.225,,2.225,,2.2249,20.3,R,AQ,"ICRF J211636.6+053617 S/X; PMN J2116+0536
",J2116+0536,"2,8",7,3,,4.0,21.285211267605632,21.495586028452585
8213,J2116+0615,,+06:15:52.912,21:16:00.7966,6.264697777777778,319.00331916666664,,,,,,,,,,,,,,,,,,,,,,,J2116+0615,5,133,5,,6.8,4.225352112676056,6.546266147667387
8218,J2116-0108,,-01:08:28.429,21:16:03.2312,-1.141230277777778,319.01346333333333,,,,,,,,,,,,,,,,,,,,,,,J2116-0108,"5,8",-145,4,,3.7,7.447183098591549,8.453433391465719
8228,J2118-0636,2116-068,-06:36:17.9991536,21:18:43.24217500,-6.6049997648888885,319.68017572916665,12093.0,8.89e-06,0.0003042,3.7041666666666666e-08,8.450000000000002e-08,9.216388512896322e-08,-0.0833,0.3044,1.0,2015.0,44.937,-35.612,NED (fiducial),0.3281,,0.3281,,0.3281,17.5,R,A1,"ICRF J211843.2-063617 S/X; FBQS J2118-0636
",J2118-0636,"2,8",7,2,,4.4,21.285211267605632,21.378966736178008
8229,J2118-0732,2116-077,-07:32:27.5788700,21:18:52.96322900,-7.540994130555555,319.72068012083326,12094.0,2.267e-05,0.0008,9.445833333333333e-08,2.222222222222223e-07,2.4114606531415386e-07,-0.052,0.8002,39.0,2015.0,43.945,-36.094,NED (fiducial),0.2601,,0.2601,,0.2601,17.5,R,A1,"NVSS J211852-073229
",J2118-0732,8,150,5,,57.3,4.225352112676056,6.546266147667387
8262,J2125+0441,2122+044,+04:41:35.5217540,21:25:29.25544107,4.693200487222223,321.371897671125,12152.0,5.34e-06,0.0001564,2.225e-08,4.344444444444445e-08,4.8776716086136484e-08,0.0124,0.1564,1.0,2015.0,57.456,-30.998,NED (fiducial),1.3993,,1.394,,1.3991,20.6,R,AQ,"ICRF J212529.2+044135 S/X; CGRaBS J2125+0441; GALEXASC J212529.23+044134.1
",J2125+0441,"2,8",-15,3,,2.9,21.285211267605632,21.495586028452585
8271,J2126-0119,2123-015,-01:19:32.4051597,21:26:32.75745352,-1.3256680999166666,321.6364893896666,12161.0,6.58e-06,0.0002041,2.7416666666666664e-08,5.669444444444444e-08,6.297246475865136e-08,-0.1243,0.2046,1.0,2015.0,51.705,-34.596,NED (fiducial),2.1914,,2.1913,,2.1923,19.8,R,AQ,"ICRF J212632.7-011932 S/X; PKS 2123-015
",J2126-0119,"2,8",-45,3,,4.4,4.014084507042253,5.011274731011726
8284,J2128-0244,2125-029,-02:44:32.8131100,21:28:22.22207500,-2.742448086111111,322.0925919791666,12176.0,2.667e-05,0.00091,1.1112499999999998e-07,2.527777777777778e-07,2.7607444778226944e-07,0.011,0.91,39.0,2015.0,50.536,-35.737,NED (fiducial),1.8231,,1.8231,,1.8223,19.0,R,AQ,"CGRaBS J2128-0244
",J2128-0244,"5,8",16,4,,6.1,21.285211267605632,21.65779810383793
8317,J2134-0153,2131-021,-01:53:17.2389056,21:34:10.30958988,-1.8881219182222224,323.54295662449994,12225.0,2.21e-06,3.66e-05,9.208333333333331e-09,1.0166666666666668e-08,1.3713586867285646e-08,0.0109,0.0366,1.0,2015.0,52.39,-36.504,NED (fiducial),1.285,,1.28,,0.2979,18.9,R,AL,"ICRF J213410.3-015317 S/X; 4C -02.81;; z=0.557 not confirmed, see 1993A&AS..100..521V
",J2134-0153,"1.4,2,5,8,15,24,43",99,3,,2.2,0.0,3.0
8326,J2136+0041,2134+004,+00:41:54.2128562,21:36:38.58632232,0.6983924600555556,324.160776343,12248.0,2.39e-06,4.35e-05,9.958333333333332e-09,1.2083333333333334e-08,1.565760561939006e-08,-0.1519,0.0444,1.0,2015.0,55.473,-35.578,NED (fiducial),1.9413,,1.9412,,1.9413,17.0,R,AQ,"ICRF J213638.5+004154 S/X; JVAS J2136+0041
",J2136+0041,"1.4,2,15,43",-59,4,,3.5,4.014084507042253,5.666822251463041
8328,J2136-0643,2133-069,-06:43:52.0982055,21:36:22.30843336,-6.731138390416667,324.09295180566664,12245.0,8.83e-06,0.0001026,3.6791666666666674e-08,2.85e-08,4.6338754966483416e-08,0.0517,0.1318,3.0,2015.0,47.505,-39.496,NED (fiducial),0.9408,,0.9405,,0.9405,19.0,R,AQ,"SDSS J213622.31-064352.0; PMN J2136-0643
",J2136-0643,"2,8",142,3,,6.2,4.225352112676056,5.182045973946585
8345,J2139+0122,2137+011,+01:22:27.1677904,21:39:42.50885960,1.3742132751111111,324.92712024833327,12284.0,1.138e-05,0.0003535,4.741666666666666e-08,9.819444444444444e-08,1.0903759016391853e-07,-0.2328,0.3563,1.0,2015.0,56.696,-35.817,NED (fiducial),1.404,,1.404,,1.4039,18.9,R,AQ,"ICRF J213942.5+012227 S/X; FBQS J2139+0122
",J2139+0122,"2,8",-66,3,,1.6,4.014084507042253,5.011274731011726
8377,J2145+1115,2142+110,+11:15:27.3123630,21:45:18.77506615,11.2575867675,326.3282294422916,12329.0,2.75e-06,5.63e-05,1.1458333333333332e-08,1.5638888888888888e-08,1.9257843486324045e-08,-0.1113,0.0567,1.0,2015.0,67.004,-30.762,NED (fiducial),0.5481,,0.5481,,0.5481,16.3,R,AL,"ICRF J214518.7+111527 S/X DEF; JVAS J2145+1115
",J2145+1115,"2,8,43",165,4,,1.7,4.225352112676056,5.818384696468256
8390,J2147+0830,2145+082,+08:30:11.8968089,21:47:55.21938137,8.503304669138888,326.9800807557083,12357.0,4.12e-06,0.0001037,1.7166666666666665e-08,2.8805555555555563e-08,3.3436673459520246e-08,-0.0271,0.1037,1.0,2015.0,65.042,-33.048,NED (fiducial),2.6014,,,,2.6011,18.8,R,AQ,"ICRF J214755.2+083011 S/X; PMN J2147+0830
",J2147+0830,"2,8",158,3,,3.4,4.225352112676056,5.182045973946585
8406,J2149+0322,,+03:22:51.434,21:49:41.8698,3.380953888888889,327.4244575,,,,,,,,,,,,,,,,,,,,,,,J2149+0322,8,-141,5,,3.5,7.447183098591549,8.969979715916175
8410,J2149-0046,2147-010,-00:46:56.5952100,21:49:54.54738100,-0.7823875583333334,327.4772807541666,12374.0,6.533e-05,0.00201,2.722083333333333e-07,5.583333333333333e-07,6.211438417129093e-07,0.408,2.0584,39.0,2015.0,56.338,-39.144,NED (fiducial),0.8637,,,,0.8607,21.9,r,V ,"NVSS J214954-004657
",J2149-0046,5,-96,5,,8.8,4.014084507042253,6.411932191600021
8426,J2152+2935,2150+293,+29:35:38.5595400,21:52:20.58834300,29.594044316666665,328.08578476249994,12401.0,3.667e-05,0.00077,1.5279166666666664e-07,2.138888888888889e-07,2.517937314957281e-07,-0.489,0.8167,39.0,2015.0,82.587,-18.916,NED (fiducial),0.5,,1.9913,,1.9913,19.6,R,AQ,"87GB 215007.7+292119
",J2152+2935,"5,8",-106,4,,3.9,4.014084507042253,5.666822251463041
8431,J2153+1241,2150+124,+12:41:05.1954800,21:53:04.65870500,12.684776522222222,328.2694112708333,12404.0,2.533e-05,0.00087,1.0554166666666665e-07,2.4166666666666665e-07,2.626874831054884e-07,-0.344,0.881,39.0,2015.0,69.725,-31.212,NED (fiducial),2.218,,2.218,,2.218,19.7,R,AQ,"87GB 215038.7+122645
",J2153+1241,5,-10,5,,8.3,21.285211267605632,21.86458823546892
8432,J2153+1741,2151+174,+17:41:43.6895200,21:53:36.82620600,17.69546931111111,328.403442525,12408.0,3.467e-05,0.00101,1.444583333333333e-07,2.805555555555556e-07,3.1249257531511255e-07,0.002,1.01,39.0,2015.0,73.961,-27.814,NED (fiducial),0.2302,,0.2302,,0.2302,15.9,R,G ,"87GB 215114.6+172739;; brightest galaxy in a cluster
",J2153+1741,5,-18,5,,13.1,21.285211267605632,21.86458823546892
8443,J2155+2034,2152+203,+20:34:41.6998100,21:55:02.79496900,20.578249947222226,328.76164570416665,12421.0,3.4e-05,0.00099,1.4166666666666665e-07,2.75e-07,3.0531133768519984e-07,-0.317,1.0044,39.0,2015.0,76.485,-25.982,,,,,,,20.2,R,V ,"NVSS J215502+203442
",J2155+2034,8,-166,5,,1.2,7.447183098591549,8.969979715916175
8444,J2155+2250,2152+226,+22:50:22.2812006,21:55:06.45849769,22.839522555722223,328.7769104070416,12423.0,7.87e-06,0.0001349,3.2791666666666664e-08,3.747222222222222e-08,4.8139957611481584e-08,-0.1823,0.1385,1.0,2015.0,78.206,-24.343,NED (fiducial),1.35,,1.3514,,1.3513,20.5,R,AQ,"ICRF J215506.4+225022 S/X; 87GB 215248.0+223626; GALEXASC J215506.44+225022.6
",J2155+2250,"2,8",-103,3,,4.8,4.014084507042253,5.011274731011726
8450,J2156-0037,2153-008,-00:37:04.5945173,21:56:14.75792735,-0.6179429214722223,329.0614913639583,12433.0,4.5e-06,0.00013,1.875e-08,3.611111111111111e-08,4.0688253265419215e-08,-0.1517,0.1305,1.0,2015.0,57.713,-40.335,NED (fiducial),1.5505,,0.7073,,0.736,19.9,R,AL,"ICRF J215614.7-003704 S/X; NVSS J215614-003704
",J2156-0037,"2,8",54,3,,1.1,0.0,3.0
8454,J2157+0649,2155+065,+06:49:21.3887900,21:57:43.24404400,6.822607997222222,329.4301835166666,12449.0,3.8e-05,0.00129,1.5833333333333333e-07,3.583333333333333e-07,3.913035028381874e-07,-0.336,1.3067,39.0,2015.0,65.412,-35.986,NED (fiducial),0.626,,0.6261,,0.6261,17.7,R,AL,"87GB 215512.6+063500
",J2157+0649,"5,8",-7,4,,7.0,21.285211267605632,21.65779810383793
8455,J2157+1014,2154+100,+10:14:24.7976957,21:57:12.86043999,10.240221582138888,329.303585166625,12444.0,6.53e-06,0.0001683,2.7208333333333334e-08,4.675e-08,5.387447956535832e-08,-0.169,0.1694,1.0,2015.0,68.417,-33.617,NED (fiducial),0.7612,,0.7612,,0.7613,17.0,R,AQ,"ICRF J215712.8+101424 S/X; JVAS J2157+1014
",J2157+1014,"2,8",84,3,,7.1,0.0,3.0
8467,J2159+0628,2157+062,+06:28:35.4842000,21:59:42.34507000,6.476523388888889,329.9264377916667,12467.0,5.533e-05,0.00197,2.3054166666666666e-07,5.472222222222222e-07,5.932330083291856e-07,-0.07,1.971,39.0,2015.0,65.488,-36.585,NED (fiducial),2.7203,,2.7201,,2.7205,19.2,R,AQ,"NVSS J215942+062835
",J2159+0628,"5,8",-72,4,,6.2,4.014084507042253,5.666822251463041
8471,J2159-0105,2156-013,-01:05:54.8887944,21:59:34.27570522,-1.0985802206666666,329.8928154384166,12466.0,1.365e-05,0.0003517,5.687499999999999e-08,9.769444444444444e-08,1.1303884743327689e-07,0.062,0.352,1.0,2015.0,57.847,-41.29,NED (fiducial),1.0941,,1.0941,,,19.8,R,AQ,"ICRF J215934.2-010554 S/X; PKS B2157-013
",J2159-0105,"2,8",-103,3,,9.6,4.014084507042253,5.011274731011726
8474,J2200+0234,2158+023,+02:34:30.0886000,22:00:49.40853800,2.575024611111111,330.2058689083333,12479.0,4.267e-05,0.00151,1.777916666666667e-07,4.194444444444445e-07,4.554994124197019e-07,-0.554,1.5563,39.0,2015.0,61.919,-39.302,NED (fiducial),1.323,,1.323,,1.3266,19.9,R,AQ,"CGRaBS J2200+0234; NVSS J220049+023430
",J2200+0234,8,-71,5,,1.2,4.014084507042253,6.411932191600021
8476,J2200+2137,2157+213,+21:37:57.0390344,22:00:14.19738740,21.63251084288889,330.0591557808333,12472.0,1.256e-05,0.0002633,5.233333333333333e-08,7.313888888888889e-08,8.78399854216977e-08,-0.0243,0.2634,1.0,2015.0,78.27,-26.035,LITERATURE,,c,,,,19.0,R,AL,"ICRF J220014.1+213757 S/X; NVSS J220014+213757;; imaging z from 2010ApJ...712...14M; 2020ApJ...898...18R give z<1.64
",J2200+2137,"2,8,15",52,2,,2.5,0.0,2.0
8484,J2201+1938,,+19:38:55.649,22:01:36.6700,19.64879138888889,330.4027916666666,,,,,,,,,,,,,,,,,,,,,,,J2201+1938,5,-87,5,,1.9,4.014084507042253,6.411932191600021
8495,J2203+0740,2201+074,+07:40:07.6861900,22:03:35.11838800,7.668801719444445,330.8963266166666,12513.0,5.2e-05,0.002,2.1666666666666665e-07,5.555555555555555e-07,5.956092962563338e-07,-0.208,2.0075,39.0,2015.0,67.394,-36.513,NED (fiducial),2.529,,2.5287,,2.5288,18.2,R,AQ,"NVSS J220335+074007
",J2203+0740,5,174,5,,18.5,4.225352112676056,6.546266147667387
8498,J2203+2811,,+28:11:21.869,22:03:59.1480,28.18940805555556,330.99645,,,,,,,,,,,,,,,,,,,,,,,J2203+2811,5,-37,5,,4.1,4.014084507042253,6.411932191600021
